ds;y
22/05/2015;406586896
23/05/2015;418161601
24/05/2015;429981696
25/05/2015;442050625
26/05/2015;454371856
27/05/2015;466948881
28/05/2015;479785216
29/05/2015;492884401
30/05/2015;506250000
31/05/2015;519885601
01/06/2015;533794816
02/06/2015;547981281
03/06/2015;562448656
04/06/2015;577200625
05/06/2015;592240896
06/06/2015;607573201
07/06/2015;623201296
08/06/2015;639128961
09/06/2015;655360000
10/06/2015;671898241
11/06/2015;688747536
12/06/2015;705911761
13/06/2015;723394816
14/06/2015;741200625
15/06/2015;759333136
16/06/2015;777796321
17/06/2015;796594176
18/06/2015;815730721
19/06/2015;835210000
20/06/2015;855036081
21/06/2015;875213056
22/06/2015;895745041
23/06/2015;916636176
24/06/2015;937890625
25/06/2015;959512576
26/06/2015;981506241
27/06/2015;1003875856
28/06/2015;1026625681
29/06/2015;1049760000
30/06/2015;1073283121
01/07/2015;1097199376
02/07/2015;1121513121
03/07/2015;1146228736
04/07/2015;1171350625
05/07/2015;1196883216
06/07/2015;1222830961
07/07/2015;1249198336
08/07/2015;1275989841
09/07/2015;1303210000
10/07/2015;1330863361
11/07/2015;1358954496
12/07/2015;1387488001
13/07/2015;1416468496
14/07/2015;1445900625
15/07/2015;1475789056
16/07/2015;1506138481
17/07/2015;1536953616
18/07/2015;1568239201
19/07/2015;1600000000
20/07/2015;1632240801
21/07/2015;1664966416
22/07/2015;1698181681
23/07/2015;1731891456
24/07/2015;1766100625
25/07/2015;1800814096
26/07/2015;1836036801
27/07/2015;1871773696
28/07/2015;1908029761
29/07/2015;1944810000
30/07/2015;1982119441
31/07/2015;2019963136
01/08/2015;2058346161
02/08/2015;2097273616
03/08/2015;2136750625
04/08/2015;2176782336
05/08/2015;2217373921
06/08/2015;2258530576
07/08/2015;2300257521
08/08/2015;2342560000
09/08/2015;2385443281
10/08/2015;2428912656
11/08/2015;2472973441
12/08/2015;2517630976
13/08/2015;2562890625
14/08/2015;2608757776
15/08/2015;2655237841
16/08/2015;2702336256
17/08/2015;2750058481
18/08/2015;2798410000
19/08/2015;2847396321
20/08/2015;2897022976
21/08/2015;2947295521
22/08/2015;2998219536
23/08/2015;3049800625
24/08/2015;3102044416
25/08/2015;3154956561
26/08/2015;3208542736
27/08/2015;3262808641
28/08/2015;3317760000
29/08/2015;3373402561
30/08/2015;3429742096
31/08/2015;3486784401
01/09/2015;3544535296
02/09/2015;3603000625
03/09/2015;3662186256
04/09/2015;3722098081
05/09/2015;3782742016
06/09/2015;3844124001
07/09/2015;3906250000
08/09/2015;3969126001
09/09/2015;4032758016
10/09/2015;4097152081
11/09/2015;4162314256
12/09/2015;4228250625
13/09/2015;4294967296
14/09/2015;4362470401
15/09/2015;4430766096
16/09/2015;4499860561
17/09/2015;4569760000
18/09/2015;4640470641
19/09/2015;4711998736
20/09/2015;4784350561
21/09/2015;4857532416
22/09/2015;4931550625
23/09/2015;5006411536
24/09/2015;5082121521
25/09/2015;5158686976
26/09/2015;5236114321
27/09/2015;5314410000
28/09/2015;5393580481
29/09/2015;5473632256
30/09/2015;5554571841
01/10/2015;5636405776
02/10/2015;5719140625
03/10/2015;5802782976
04/10/2015;5887339441
05/10/2015;5972816656
06/10/2015;6059221281
07/10/2015;6146560000
08/10/2015;6234839521
09/10/2015;6324066576
10/10/2015;6414247921
11/10/2015;6505390336
12/10/2015;6597500625
13/10/2015;6690585616
14/10/2015;6784652161
15/10/2015;6879707136
16/10/2015;6975757441
17/10/2015;7072810000
18/10/2015;7170871761
19/10/2015;7269949696
20/10/2015;7370050801
21/10/2015;7471182096
22/10/2015;7573350625
23/10/2015;7676563456
24/10/2015;7780827681
25/10/2015;7886150416
26/10/2015;7992538801
27/10/2015;8100000000
28/10/2015;8208541201
29/10/2015;8318169616
30/10/2015;8428892481
31/10/2015;8540717056
01/11/2015;8653650625
02/11/2015;8767700496
03/11/2015;8882874001
04/11/2015;8999178496
05/11/2015;9116621361
06/11/2015;9235210000
07/11/2015;9354951841
08/11/2015;9475854336
09/11/2015;9597924961
10/11/2015;9721171216
11/11/2015;9845600625
12/11/2015;9971220736
13/11/2015;10098039121
14/11/2015;10226063376
15/11/2015;10355301121
16/11/2015;10485760000
17/11/2015;10617447681
18/11/2015;10750371856
19/11/2015;10884540241
20/11/2015;11019960576
21/11/2015;11156640625
22/11/2015;11294588176
23/11/2015;11433811041
24/11/2015;11574317056
25/11/2015;11716114081
26/11/2015;11859210000
27/11/2015;12003612721
28/11/2015;12149330176
29/11/2015;12296370321
30/11/2015;12444741136
01/12/2015;12594450625
02/12/2015;12745506816
03/12/2015;12897917761
04/12/2015;13051691536
05/12/2015;13206836241
06/12/2015;13363360000
07/12/2015;13521270961
08/12/2015;13680577296
09/12/2015;13841287201
10/12/2015;14003408896
11/12/2015;14166950625
12/12/2015;14331920656
13/12/2015;14498327281
14/12/2015;14666178816
15/12/2015;14835483601
16/12/2015;15006250000
17/12/2015;15178486401
18/12/2015;15352201216
19/12/2015;15527402881
20/12/2015;15704099856
21/12/2015;15882300625
22/12/2015;16062013696
23/12/2015;16243247601
24/12/2015;16426010896
25/12/2015;16610312161
26/12/2015;16796160000
27/12/2015;16983563041
28/12/2015;17172529936
29/12/2015;17363069361
30/12/2015;17555190016
31/12/2015;17748900625
