ds;y
19/06/2015;1701504
20/06/2015;1712760
21/06/2015;1721273
22/06/2015;1731003
23/06/2015;1742141
24/06/2015;1751479
25/06/2015;1762739
26/06/2015;1772512
27/06/2015;1782042
28/06/2015;1792086
29/06/2015;1802757
30/06/2015;1811080
01/07/2015;1821167
02/07/2015;1832557
03/07/2015;1841201
04/07/2015;1851436
05/07/2015;1862659
06/07/2015;1871827
07/07/2015;1881992
08/07/2015;1891897
09/07/2015;1902774
10/07/2015;1911496
11/07/2015;1921776
12/07/2015;1931408
13/07/2015;1942754
14/07/2015;1951087
15/07/2015;1961235
16/07/2015;1971517
17/07/2015;1981940
18/07/2015;1991415
19/07/2015;2002927
20/07/2015;2012462
21/07/2015;2022466
22/07/2015;2031435
23/07/2015;2041504
24/07/2015;2051166
25/07/2015;2062123
26/07/2015;2072302
27/07/2015;2082422
28/07/2015;2092246
29/07/2015;2101483
30/07/2015;2111101
31/07/2015;2121900
01/08/2015;2132031
02/08/2015;2141100
03/08/2015;2152441
04/08/2015;2162601
05/08/2015;2172891
06/08/2015;2182897
07/08/2015;2192850
08/08/2015;2201400
09/08/2015;2212689
10/08/2015;2222211
11/08/2015;2232936
12/08/2015;2242145
13/08/2015;2252212
14/08/2015;2262751
15/08/2015;2271192
16/08/2015;2281199
17/08/2015;2291663
18/08/2015;2301077
19/08/2015;2311196
20/08/2015;2321834
21/08/2015;2331748
22/08/2015;2342020
23/08/2015;2352627
24/08/2015;2361440
25/08/2015;2371761
26/08/2015;2381649
27/08/2015;2391846
28/08/2015;2402303
29/08/2015;2412148
30/08/2015;2422937
31/08/2015;2431967
01/09/2015;2441533
02/09/2015;2452774
03/09/2015;2462983
04/09/2015;2471413
05/09/2015;2482384
06/09/2015;2491487
07/09/2015;2501600
08/09/2015;2511739
09/09/2015;2522869
10/09/2015;2531494
11/09/2015;2541921
12/09/2015;2551576
13/09/2015;2562087
14/09/2015;2571787
15/09/2015;2582880
16/09/2015;2592341
17/09/2015;2602492
18/09/2015;2612940
19/09/2015;2622884
20/09/2015;2631799
21/09/2015;2641203
22/09/2015;2651629
23/09/2015;2661183
24/09/2015;2672800
25/09/2015;2681374
26/09/2015;2691213
27/09/2015;2701917
28/09/2015;2712269
29/09/2015;2722939
30/09/2015;2732950
01/10/2015;2742192
02/10/2015;2752578
03/10/2015;2761373
04/10/2015;2772414
05/10/2015;2781732
06/10/2015;2791981
07/10/2015;2801496
08/10/2015;2812888
09/10/2015;2821138
10/10/2015;2831742
11/10/2015;2841381
12/10/2015;2851073
13/10/2015;2861538
14/10/2015;2871933
15/10/2015;2882801
16/10/2015;2891687
17/10/2015;2902673
18/10/2015;2912476
19/10/2015;2922371
20/10/2015;2932429
21/10/2015;2942653
22/10/2015;2952269
23/10/2015;2962233
24/10/2015;2972581
25/10/2015;2981534
26/10/2015;2992010
27/10/2015;3001055
28/10/2015;3011913
29/10/2015;3021588
30/10/2015;3032735
31/10/2015;3042020
01/11/2015;3051570
02/11/2015;3061428
03/11/2015;3071153
04/11/2015;3082804
05/11/2015;3092574
06/11/2015;3101533
07/11/2015;3111275
08/11/2015;3122370
09/11/2015;3132441
10/11/2015;3142745
11/11/2015;3151190
12/11/2015;3162031
13/11/2015;3171603
14/11/2015;3182316
15/11/2015;3192969
16/11/2015;3201783
17/11/2015;3212531
18/11/2015;3221590
19/11/2015;3232813
20/11/2015;3241777
21/11/2015;3252854
22/11/2015;3261211
23/11/2015;3272595
24/11/2015;3282866
25/11/2015;3291237
26/11/2015;3302734
27/11/2015;3311265
28/11/2015;3322898
29/11/2015;3332043
30/11/2015;3342027
01/12/2015;3351880
02/12/2015;3362286
03/12/2015;3372681
04/12/2015;3382681
05/12/2015;3391756
06/12/2015;3402780
07/12/2015;3411980
08/12/2015;3421725
09/12/2015;3431229
10/12/2015;3442602
11/12/2015;3452321
12/12/2015;3461219
13/12/2015;3471394
14/12/2015;3481260
15/12/2015;3492307
16/12/2015;3502297
17/12/2015;3512804
18/12/2015;3522074
19/12/2015;3532083
20/12/2015;3541791
21/12/2015;3551872
22/12/2015;3561695
23/12/2015;3572073
24/12/2015;3581097
25/12/2015;3592649
26/12/2015;3602884
27/12/2015;3612461
28/12/2015;3621410
29/12/2015;3632233
30/12/2015;3642566
31/12/2015;3652043
